#{"source_data": "2017-08-01", "update_frequency": "Hourly", "source_key": "FTS", "extract_date": "2017-08-01", "source_url": "https://fts.unocha.org"}
cluster,revisedRequirements,totalFunding,plan_id,plan_code,plan_name,countryCode,percentFunded
Protection,42606013.0,8075152.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,0.189530806368
Other,8050372.0,0.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,0.0
Food Security and Livelihood,65223351.0,9635793.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,0.14773532565
Health and Nutrition,23271107.0,8524597.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,0.366316780719
Education,7599404.0,1179290.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,0.155181906371
Humanitarian Coordination,5758881.0,1370519.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,0.237983559653
Emergency Shelter/Non-Food Items (NFI),33833959.0,1306356.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,0.0386107933748
"Water, Sanitation and Hygiene (WASH)",26245125.0,1368422.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,0.052140045056
Not specified,,11925768.0,531,HUKR17,Ukraine Humanitarian Response Plan 2017,UKR,
Health,321575585.0,73885486.0,542,HYEM17,Yemen 2017,YEM,0.229760869439
Logistics,19470000.0,16277307.0,542,HYEM17,Yemen 2017,YEM,0.836019876733
Emergency Telecommunications,3238003.0,500000.0,542,HYEM17,Yemen 2017,YEM,0.154416163296
Coordination and Safety,17949253.0,8315690.0,542,HYEM17,Yemen 2017,YEM,0.463288917929
Emergency Employment and Community Rehabilitation,41862976.0,18893874.0,542,HYEM17,Yemen 2017,YEM,0.451326585095
Education,36542493.0,0.0,542,HYEM17,Yemen 2017,YEM,0.0
Protection,72227455.0,7784811.0,542,HYEM17,Yemen 2017,YEM,0.107781881557
Multi-Sector: Refugees & Migrants,66884269.0,22247407.0,542,HYEM17,Yemen 2017,YEM,0.332625404039
Shelter/CCCM/NFIs,106018323.0,10167817.0,542,HYEM17,Yemen 2017,YEM,0.0959062236817
Food Security and Agriculture,1073779967.0,346205563.0,542,HYEM17,Yemen 2017,YEM,0.322417602898
WASH,125933755.0,23621626.0,542,HYEM17,Yemen 2017,YEM,0.187571838861
Nutrition,182179941.0,83272322.0,542,HYEM17,Yemen 2017,YEM,0.457088313581
Not specified,,287975342.0,542,HYEM17,Yemen 2017,YEM,
Health and Nutrition,18328004.0,4532194.0,529,HPSE17,occupied Palestinian territory 2017,PSE,0.247282464583
Shelter NFIs,103615967.0,25293286.0,529,HPSE17,occupied Palestinian territory 2017,PSE,0.244106065236
Coordination and Support Services,19024998.0,10897491.0,529,HPSE17,occupied Palestinian territory 2017,PSE,0.572798535905
Education,20261954.0,5051496.0,529,HPSE17,occupied Palestinian territory 2017,PSE,0.24930942001
WASH,37191554.0,6194579.0,529,HPSE17,occupied Palestinian territory 2017,PSE,0.166558756862
Food Security,299683368.0,127810373.0,529,HPSE17,occupied Palestinian territory 2017,PSE,0.426484705684
Protection,53770798.0,30898601.0,529,HPSE17,occupied Palestinian territory 2017,PSE,0.574635343891
Not specified,,14966441.0,529,HPSE17,occupied Palestinian territory 2017,PSE,
