#{"source_key": "UNHCR", "source_url": "http://www.unhcr.org/cgi-bin/texis/vtx/home/opendocAttachment.zip?COMID=58aa8f854", "source_date": 2017-02-01, "extract_date": 2017-04-04}
UN major regions,UNHCR-Bureaux,Country/territory of asylum/residence,Type of population,Population Start 2016,of whom assisted by UNHCR Start 2016,Population Mid 2016,of whom assisted by UNHCR Mid 2016,Notes,Misc
Africa,Western Africa,Guinea,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Guinea,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Guinea,Total population of concern,"  9,037 ","   9,037 ","   9,216 ","   9,216 ",,
Africa,Western Africa,Guinea-Bissau,Total Refugee and people in refugee-like situations,"   8,684 ","   8,684 ","   8,684 ","   8,684 ",,
Africa,Western Africa,Guinea-Bissau,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Guinea-Bissau,Asylum-seekers,   123 ,   123 ,   123 ,   123 ,,
Africa,Western Africa,Guinea-Bissau,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Guinea-Bissau,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Guinea-Bissau,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Guinea-Bissau,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Guinea-Bissau,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Guinea-Bissau,Total population of concern,"   8,807 ","   8,807 ","   8,807 ","   8,807 ",l,
Africa,Western Africa,Liberia,Total Refugee and people in refugee-like situations,"   36,505 ","  36,505 ","  20,560 ","  20,560 ",,
Africa,Western Africa,Liberia,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Liberia,Asylum-seekers,   15 ,  15 ,  24 ,  24 ,,
Africa,Western Africa,Liberia,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Liberia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Liberia,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Liberia,Persons under UNHCR's statelessness mandate,  1 ,   1 ,   1 ,   1 ,,
Africa,Western Africa,Liberia,Others of concern to UNHCR,"  1,479 ","   1,479 ","   1,479 ","   1,479 ",,
Africa,Western Africa,Liberia,Total population of concern,"   38,000 ","  38,000 ","  22,064 ","  22,064 ",,
Africa,Western Africa,Mali,Total Refugee and people in refugee-like situations,"  15,917 ","  15,917 ","  17,923 ","  17,923 ",,
Africa,Western Africa,Mali,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Mali,Asylum-seekers,  340 ,   340 ,   283 ,   283 ,,
Africa,Western Africa,Mali,Returned refugees,   -00 ,   -00 ,"  5,978 ","   5,868 ",,
Africa,Western Africa,Mali,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  61,920 ","  42,268 ","  37,801 ","  37,801 ",,
Africa,Western Africa,Mali,Returned IDPs,   -00 ,   -00 ,"  28,777 ","  27,438 ",,
Africa,Western Africa,Mali,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Mali,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Mali,Total population of concern,"  78,177 ","  58,525 ","  90,762 ","  89,313 ",,
Africa,Western Africa,Niger,Total Refugee and people in refugee-like situations,"   124,721 ","   124,721 ","   143,538 ","   143,538 ",,
Africa,Western Africa,Niger,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Niger,Asylum-seekers,   106 ,   106 ,   62 ,  62 ,,
Africa,Western Africa,Niger,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Niger,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","   137,337 ","   137,337 ","   127,208 ","   127,208 ",,
Africa,Western Africa,Niger,Returned IDPs,  -00 ,   -00 ,"  10,129 ","  10,129 ",,
Africa,Western Africa,Niger,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Niger,Others of concern to UNHCR,"  70,000 ","  70,000 ","  31,524 ","  31,524 ",,
Africa,Western Africa,Niger,Total population of concern,"   332,164 ","   332,164 ","   312,461 ","   312,461 ",,
Africa,Western Africa,Nigeria,Total Refugee and people in refugee-like situations,"   1,395 ","   1,395 ","   1,243 ","   1,243 ",,
Africa,Western Africa,Nigeria,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Nigeria,Asylum-seekers,   386 ,   386 ,   469 ,   469 ,,
Africa,Western Africa,Nigeria,Returned refugees,  -00 ,   -00 ,"  17,293 ","  17,293 ",,
Africa,Western Africa,Nigeria,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","   2,172,532 ","   554,296 ","   2,087,336 ","   554,266 ",,
Africa,Western Africa,Nigeria,Returned IDPs,  -00 ,   -00 ,"  331,152 ",  -00 ,,
Africa,Western Africa,Nigeria,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Nigeria,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Nigeria,Total population of concern,"   2,174,313 ","   556,077 ","   2,437,493 ","   573,271 ",,
Africa,Western Africa,Senegal,Total Refugee and people in refugee-like situations,"   14,392 ","  14,392 ","  14,453 ","  14,453 ",,
Africa,Western Africa,Senegal,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Senegal,Asylum-seekers,"  3,119 ","   3,119 ","   3,161 ","   3,161 ",,
Africa,Western Africa,Senegal,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Senegal,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Senegal,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Senegal,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Senegal,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Senegal,Total population of concern,"   17,511 ","  17,511 ","  17,614 ","  17,614 ",,
Africa,Western Africa,Sierra Leone,Total Refugee and people in refugee-like situations,   760 ,   442 ,   765 ,   442 ,,
Africa,Western Africa,Sierra Leone,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Sierra Leone,Asylum-seekers,  15 ,  -00 ,   17 ,  -00 ,,
Africa,Western Africa,Sierra Leone,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Sierra Leone,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Sierra Leone,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Sierra Leone,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Sierra Leone,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Sierra Leone,Total population of concern,   775 ,   442 ,   782 ,   442 ,,
Africa,Western Africa,Togo,Total Refugee and people in refugee-like situations,"  21,953 ","  13,451 ","  13,083 ","  7,509 ",,
Africa,Western Africa,Togo,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Togo,Asylum-seekers,  752 ,   752 ,   724 ,   724 ,,
Africa,Western Africa,Togo,Returned refugees,   -00 ,   -00 ,   5 ,   5 ,,
Africa,Western Africa,Togo,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Togo,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Togo,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Togo,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Africa,Western Africa,Togo,Total population of concern,"  22,705 ","  14,203 ","  13,812 ","  8,238 ",,
Asia,Middle East and North Africa,Bahrain,Total Refugee and people in refugee-like situations,  247 ,   247 ,   271 ,   271 ,,
Asia,Middle East and North Africa,Bahrain,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Bahrain,Asylum-seekers,   113 ,   113 ,   79 ,  79 ,,
Asia,Middle East and North Africa,Bahrain,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Bahrain,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Bahrain,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Bahrain,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Bahrain,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Bahrain,Total population of concern,  360 ,   360 ,   350 ,   350 ,,
Asia,Middle East and North Africa,Iraq,Total Refugee and people in refugee-like situations,"  277,701 ","   277,701 ","   282,331 ","   282,331 ",,
Asia,Middle East and North Africa,Iraq,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Iraq,Asylum-seekers,"   7,420 ","   7,420 ","   7,420 ","   7,420 ",,
Asia,Middle East and North Africa,Iraq,Returned refugees,   -00 ,   -00 ,   74 ,  73 ,,
Asia,Middle East and North Africa,Iraq,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  4,403,287 ","   1,100,823 ","   4,386,171 ","   1,150,300 ",,
Asia,Middle East and North Africa,Iraq,Returned IDPs,   -00 ,   -00 ,"  11,716 ","  5,400 ",,
Asia,Middle East and North Africa,Iraq,Persons under UNHCR's statelessness mandate,"  50,000 ","  1,447 ","   48,500 ",   -00 ,n,
Asia,Middle East and North Africa,Iraq,Others of concern to UNHCR,  29 ,  29 ,  4 ,   4 ,,
Asia,Middle East and North Africa,Iraq,Total population of concern,"  4,738,437 ","   1,387,420 ","   4,736,216 ","   1,445,528 ",,
Asia,Middle East and North Africa,Israel,Total Refugee and people in refugee-like situations,"  32,946 ",   -00 ,"  32,946 ",   -00 ,,
Asia,Middle East and North Africa,Israel,People in refugee-like situations,"  32,535 ",   -00 ,"  32,535 ",   -00 ,,
Asia,Middle East and North Africa,Israel,Asylum-seekers,"   11,677 ",   -00 ,"  11,677 ",   -00 ,,
Asia,Middle East and North Africa,Israel,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Israel,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Israel,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Israel,Persons under UNHCR's statelessness mandate,   42 ,  -00 ,   42 ,  -00 ,,
Asia,Middle East and North Africa,Israel,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Israel,Total population of concern,"  44,665 ",   -00 ,"  44,665 ",   -00 ,,
Asia,Middle East and North Africa,Jordan,Total Refugee and people in refugee-like situations,"  664,118 ","   664,118 ","   691,769 ","   691,769 ",q,
Asia,Middle East and North Africa,Jordan,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Jordan,Asylum-seekers,"   24,935 ","  24,935 ","  29,660 ","  29,660 ",,
Asia,Middle East and North Africa,Jordan,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Jordan,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Jordan,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Jordan,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Jordan,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Jordan,Total population of concern,"  689,053 ","   689,053 ","   721,429 ","   721,429 ",,
Asia,Middle East and North Africa,Kuwait,Total Refugee and people in refugee-like situations,   741 ,   741 ,   807 ,   807 ,,
Asia,Middle East and North Africa,Kuwait,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Kuwait,Asylum-seekers,  900 ,   900 ,   888 ,   888 ,,
Asia,Middle East and North Africa,Kuwait,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Kuwait,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Kuwait,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Kuwait,Persons under UNHCR's statelessness mandate,"  93,000 ",   -00 ,"  93,000 ",   -00 ,,
Asia,Middle East and North Africa,Kuwait,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Kuwait,Total population of concern,"  94,641 ","  1,641 ","   94,695 ","  1,695 ",,
Asia,Middle East and North Africa,Lebanon,Total Refugee and people in refugee-like situations,"   1,070,854 ","   1,070,854 ","   1,035,701 ","   1,035,701 ",,
Asia,Middle East and North Africa,Lebanon,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Lebanon,Asylum-seekers,"  12,139 ","  11,674 ","  13,711 ","  13,711 ",,
Asia,Middle East and North Africa,Lebanon,Returned refugees,  -00 ,   -00 ,   1 ,   -00 ,,
Asia,Middle East and North Africa,Lebanon,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Lebanon,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Lebanon,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Lebanon,Others of concern to UNHCR,"  5,238 ","   5,238 ","   4,827 ","   4,827 ",,
Asia,Middle East and North Africa,Lebanon,Total population of concern,"   1,088,231 ","   1,087,766 ","   1,054,240 ","   1,054,239 ",,
Asia,Middle East and North Africa,Oman,Total Refugee and people in refugee-like situations,   245 ,   245 ,   321 ,   321 ,,
Asia,Middle East and North Africa,Oman,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Oman,Asylum-seekers,  190 ,   190 ,   275 ,   273 ,,
Asia,Middle East and North Africa,Oman,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Oman,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Oman,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Oman,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Oman,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Oman,Total population of concern,   435 ,   435 ,   596 ,   594 ,,
Asia,Middle East and North Africa,Qatar,Total Refugee and people in refugee-like situations,  120 ,   120 ,   148 ,   148 ,,
Asia,Middle East and North Africa,Qatar,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Qatar,Asylum-seekers,   118 ,   118 ,   121 ,   121 ,,
Asia,Middle East and North Africa,Qatar,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Qatar,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Qatar,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Qatar,Persons under UNHCR's statelessness mandate,"   1,200 ",  -00 ,"  1,200 ",  -00 ,,
Asia,Middle East and North Africa,Qatar,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Qatar,Total population of concern,"   1,438 ",  238 ,"  1,469 ",  269 ,,
Asia,Middle East and North Africa,Saudi Arabia,Total Refugee and people in refugee-like situations,   125 ,   125 ,   131 ,   131 ,,
Asia,Middle East and North Africa,Saudi Arabia,People in refugee-like situations,   7 ,   7 ,   7 ,   7 ,,
Asia,Middle East and North Africa,Saudi Arabia,Asylum-seekers,  32 ,  32 ,  34 ,  34 ,,
Asia,Middle East and North Africa,Saudi Arabia,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Saudi Arabia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Saudi Arabia,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Saudi Arabia,Persons under UNHCR's statelessness mandate,"  70,000 ",   -00 ,"  70,000 ",   -00 ,,
Asia,Middle East and North Africa,Saudi Arabia,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Saudi Arabia,Total population of concern,"  70,157 ",   157 ,"  70,165 ",   165 ,,
Asia,Middle East and North Africa,State of Palestine,Total Refugee and people in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,State of Palestine,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,State of Palestine,Asylum-seekers,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,State of Palestine,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,State of Palestine,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,State of Palestine,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,State of Palestine,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,State of Palestine,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,State of Palestine,Total population of concern,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Syrian Arab Rep.,Total Refugee and people in refugee-like situations,"  21,113 ","  21,113 ","  20,323 ","  20,323 ",z,
Asia,Middle East and North Africa,Syrian Arab Rep.,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Syrian Arab Rep.,Asylum-seekers,"   5,251 ","   5,251 ","   8,609 ","   8,609 ",,
Asia,Middle East and North Africa,Syrian Arab Rep.,Returned refugees,   -00 ,   -00 ,"  6,031 ",  -00 ,,
Asia,Middle East and North Africa,Syrian Arab Rep.,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","  6,563,462 ","   3,213,275 ","   6,563,462 ","   2,284,607 ",,
Asia,Middle East and North Africa,Syrian Arab Rep.,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Syrian Arab Rep.,Persons under UNHCR's statelessness mandate,"  160,000 ",  -00 ,"  160,000 ",  -00 ,,
Asia,Middle East and North Africa,Syrian Arab Rep.,Others of concern to UNHCR,"   3,554 ","   3,554 ","   10,085 ","  10,085 ",,
Asia,Middle East and North Africa,Syrian Arab Rep.,Total population of concern,"  6,753,380 ","   3,243,193 ","   6,768,510 ","   2,323,624 ",,
Asia,Middle East and North Africa,United Arab Emirates,Total Refugee and people in refugee-like situations,   663 ,   663 ,   773 ,   773 ,,
Asia,Middle East and North Africa,United Arab Emirates,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,United Arab Emirates,Asylum-seekers,  421 ,   421 ,   492 ,   492 ,,
Asia,Middle East and North Africa,United Arab Emirates,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,United Arab Emirates,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,United Arab Emirates,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,United Arab Emirates,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,United Arab Emirates,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,United Arab Emirates,Total population of concern,"  1,084 ","   1,084 ","   1,265 ","   1,265 ",,
Asia,Middle East and North Africa,Yemen,Total Refugee and people in refugee-like situations,"   267,173 ","   117,441 ","   268,486 ","   118,754 ",,
Asia,Middle East and North Africa,Yemen,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Yemen,Asylum-seekers,"  9,866 ","   9,866 ","   10,852 ","  10,852 ",,
Asia,Middle East and North Africa,Yemen,Returned refugees,  -00 ,   -00 ,   1 ,   -00 ,,
Asia,Middle East and North Africa,Yemen,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","   2,532,032 ","   355,624 ","   2,139,268 ","   326,312 ",,
Asia,Middle East and North Africa,Yemen,Returned IDPs,  -00 ,   -00 ,"  952,800 ",  -00 ,,
Asia,Middle East and North Africa,Yemen,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Middle East and North Africa,Yemen,Others of concern to UNHCR,   17 ,  17 ,  11 ,  11 ,,
Asia,Middle East and North Africa,Yemen,Total population of concern,"   2,809,088 ","   482,948 ","   3,371,418 ","   455,929 ",,
Asia,Asia and Pacific,Afghanistan,Total Refugee and people in refugee-like situations,"   257,554 ","   257,554 ","   54,920 ","  54,620 ",,
Asia,Asia and Pacific,Afghanistan,People in refugee-like situations,"   20,485 ","  20,485 ",   -00 ,   -00 ,,
Asia,Asia and Pacific,Afghanistan,Asylum-seekers,   82 ,  82 ,  97 ,  97 ,,
Asia,Asia and Pacific,Afghanistan,Returned refugees,  -00 ,   -00 ,"  8,315 ","   8,255 ",,
Asia,Asia and Pacific,Afghanistan,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations","   1,174,306 ","   1,174,306 ","   1,323,391 ","   104,667 ",,
Asia,Asia and Pacific,Afghanistan,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Afghanistan,Persons under UNHCR's statelessness mandate,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Afghanistan,Others of concern to UNHCR,"  150,317 ","   150,317 ","   126,351 ","   126,351 ",,
Asia,Asia and Pacific,Afghanistan,Total population of concern,"   1,582,259 ","   1,582,259 ","   1,513,074 ","   293,990 ",,
Asia,Asia and Pacific,Bangladesh,Total Refugee and people in refugee-like situations,"  231,958 ","   31,958 ","  233,019 ","   33,019 ",d,
Asia,Asia and Pacific,Bangladesh,People in refugee-like situations,"  200,000 ",  -00 ,"  200,000 ",  -00 ,,
Asia,Asia and Pacific,Bangladesh,Asylum-seekers,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Bangladesh,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Bangladesh,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Bangladesh,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Bangladesh,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Bangladesh,Others of concern to UNHCR,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Bangladesh,Total population of concern,"  231,958 ","   31,958 ","  233,019 ","   33,019 ",,
Asia,Asia and Pacific,Brunei Darussalam,Total Refugee and people in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Brunei Darussalam,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Brunei Darussalam,Asylum-seekers,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Brunei Darussalam,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Brunei Darussalam,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Brunei Darussalam,Returned IDPs,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Brunei Darussalam,Persons under UNHCR's statelessness mandate,"   20,524 ",   -00 ,"  20,524 ",   -00 ,,
Asia,Asia and Pacific,Brunei Darussalam,Others of concern to UNHCR,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Brunei Darussalam,Total population of concern,"   20,524 ",   -00 ,"  20,524 ",   -00 ,,
Asia,Asia and Pacific,Cambodia,Total Refugee and people in refugee-like situations,   76 ,  71 ,  65 ,  64 ,,
Asia,Asia and Pacific,Cambodia,People in refugee-like situations,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Cambodia,Asylum-seekers,  27 ,  27 ,  200 ,   200 ,,
Asia,Asia and Pacific,Cambodia,Returned refugees,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Cambodia,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Cambodia,Returned IDPs,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Cambodia,Persons under UNHCR's statelessness mandate,   -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Cambodia,Others of concern to UNHCR,  197 ,   197 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,Cambodia,Total population of concern,   300 ,   295 ,   265 ,   264 ,,
Asia,Asia and Pacific,China,Total Refugee and people in refugee-like situations,"   301,052 ",  157 ,"  301,043 ",  148 ,f,
Asia,Asia and Pacific,China,People in refugee-like situations,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,China,Asylum-seekers,   677 ,   677 ,   654 ,   654 ,,
Asia,Asia and Pacific,China,Returned refugees,  -00 ,   -00 ,   -00 ,   -00 ,,
Asia,Asia and Pacific,China,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",  -00 ,   -00 ,   -00 ,   -00 ,,
