#{"source_key": "HNO", "source_url": "https://www.humanitarianresponse.info/", "source_date": "2017", "extract_date": "2017-06-01", "update_frequency": "Every year", "additional_metadata": {"Note on data": "Extracted from a variety of 2017 UNOCHA publications including Humanitarian Needs Overviews, Response Plans, Flash Appeals, Needs and Priorites, and Humanitarian Requirements Documents."}}
Metric,Source Type,File Type,Notes,Afghanistan 2017,Burkina Faso 2017,Burundi 2017,Cameroon 2017,Central African Republic 2017,Chad 2017,DPR Korea Needs and Priorities 2017,Democratic Republic of the Congo 2017,DRC Kasai Flash Appeal,Djibouti 2017,Ethiopia 2017,Haiti 2017,Iraq 2017,Kenya Flash Appeal 2017,Libya 2017,Madagascar Flash Appeal 2017,Madagascar Grand Sud 2016-2017,Mali 2017,Mauritania 2017,Mozambique Cyclone Dineo Flash Appeal 2017,Myanmar 2017,Niger 2017,Nigeria 2017,Nigeria northeast 2017,Peru Flash Appeal 2017,Republic of South Sudan 2017,Senegal 2017,Somalia 2017,Sudan 2017,Syria 2017,Syria regional refugee and resilience plan (3RP) 2017,Ukraine Humanitarian Needs Overview 2017,Yemen 2017,occupied Palestinian territory 2017
People targeted - Food security and livelihoods,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,"4,500,000",,,,,,,,
People targeted - RRM,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"1,300,000",,,,,,,,,,,,,,,,,,,,,
People targeted - Refugee response ,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,,,,,,,,,,,,,,"302,809",,,,,,,,
People targeted - Multipurpose cash assistance,HDX,xlsx,further data disaggregation available (HDX),,,,,,,,,,,,,"400,000",,,,,,,,,,,,,,,,,,,,,
Total population ,HNO,pdf,,"29,000,000","19,600,000","11,200,000","24,000,000","4,600,000","14,200,000",,"89,000,000",,,,"11,000,000","36,000,000",,"6,400,000",,,"18,300,000",,,"51,500,000","20,000,000",,,,"12,000,000",,"12,300,000","39,600,000",,,"45,000,000","27,400,000","4,800,000"
People in need (total),HNO,pdf,further data disaggregation available (HNO),"9,300,000","861,000","3,000,000","2,900,000","2,200,000","4,700,000",,"6,900,000",,,,"2,700,000","11,000,000",,"1,300,000",,,"3,700,000",,,"525,448","1,900,000","14,000,000",,,"7,500,000",,"5,000,000","4,800,000",,,"3,800,000","18,800,000","2,000,000"
People in need (total),HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,500,000",,,,
People in acute need (convergence of humanitarian risk factors),HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,700,000",,,,
People in acute need ,HNO,pdf,further data disaggregaton available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,300,000",
People in moderate need,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,500,000",
People in need in hard-to-reach and besieged areas,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,900,000",,,,
People living in the highest conflict-affected districts,HNO,pdf,further data disaggregation available (HNO),"3,900,000",,,"9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People living in conflict-affected areas,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,"15,000,000",,,,,"4,200,000",,,"6,400,000",,"26,000,000",,,,,,,,,,,
People living in affected areas,HNO,pdf,further data disaggregation available (HNO),,"1,100,000","10,800,000",,,"8,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
People living in the most affected areas,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Emergency shelter and NFIs (Non-Food Items),HNO,pdf,further data disaggregation available (HNO),"2,100,000",,,,,,,,,,,,,,,,,,,,,,,,,"1,900,000",,,"1,500,000",,,,,
People in need - Shelter/NFIs/Camp Coordination and Camp Management (CCCM),HNO,pdf,further data disaggregation available (HNO),,,"351,000",,"800,000","900,000",,,,,,,,,,,,,,,"217,500",,,,,,,,,,,,"4,500,000",
People in need - Shelter/NFIs/CCCM,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,900,000",
People in need - Shelter and NFIs,HNO,pdf,further data disaggregation available (HNO),,,,"656,000",,,,,,,,"800,000","3,900,000",,"600,000",,,"320,000",,,,"400,000","2,400,000",,,,,,,,,"600,000",,"270,000"
People in need - Shelter/Essential household items/CCCM,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Essential household items and shelter,HNO,pdf,further data disaggregation available (HNO),,,,,,,,"2,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Shelter,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,300,000",,,,
People in need - NFIs,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,800,000",,,,
People in need - Camp Coordination and Camp Management (CCCM),HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,"1,300,000",,,,,,,,,,,,,"930,000",,,,,,,,
People in need - CCCM,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,300,000",,,,
People in need - Displacement Management Systems/CCCM,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,"2,400,000",,,,,,,,,,,
People in need - Food security and agriculture,HNO,pdf,further data disaggregation available (HNO),"3,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,100,000",
People in need - Food security and agriculture,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000",,,,
People in acute need - Food security and agriculture,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,000,000",
People in need - Food security ,HNO,pdf,further data disaggregation available (HNO),,"153,000","2,200,000","2,800,000","2,000,000","4,300,000",,"5,900,000",,,,"1,500,000","3,200,000",,"400,000",,,"3,530,000",,,"383,500","1,300,000","5,800,000",,,,,"5,000,000",,,,,,"1,650,000"
People in need - Food security and livelihoods,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,"5,200,000",,,"3,600,000",,,"1,100,000",,
People in need - Health,HNO,pdf,further data disaggregation available (HNO),"6,300,000",,"3,100,000","1,500,000","1,300,000","1,900,000",,"6,400,000",,,,"1,800,000","9,700,000",,"1,300,000",,,"1,370,000",,,"474,000","800,000","12,400,000",,,"5,400,000",,"3,300,000","4,300,000",,,,"14,800,000",
People in need - Health,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,800,000",,,,
People in acute need - Health,HNO,pdf,further data disaggregationa available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,800,000",
People in need - Health and nutrition,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,200,000",,"1,000,000"
People in need - Nutrition,HNO,pdf,further data disaggregation available (HNO),"4,300,000","861,000","1,700,000","516,000","200,000","1,500,000",,"4,000,000",,,,"205,000",,,,,,"850,000",,,"122,000","1,500,000","6,700,000",,,"1,700,000",,"850,050","2,200,000",,,,"4,500,000",
People in need - Nutrition,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400,000",,,,
People in acute need - Nutrition,HNO,pdf,further data disaggregationa available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000",
People in need - Protection,HNO,pdf,further data disaggregation available (HNO),"3,700,000",,"1,800,000","1,000,000","2,000,000","700,000",,"7,300,000",,,,"854,000","8,700,000",,"1,300,000",,,"590,000",,,"244,000","200,000","6,700,000",,,"7,300,000",,,"3,200,000",,,"2,900,000",,"1,800,000"
People in need - Protection,HNO,website,further data disaggregation available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,500,000",,,,
People in acute need - Protection,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900,000",
People in need - Child protection,HNO,pdf,further data disaggregation available (HNO),,,,"580,000",,,,,,,,,,,,,,,,,,,"2,100,000",,,,,,,,,,,"265,000"
People in need - Sexual- and Gender-based Violence (SGBV),HNO,pdf,furher data disaggregation available (HNO),,,,"454,000",,,,,,,,,,,,,,,,,,,"1,700,000",,,,,,,,,,,
"People in need - Water, Sanitation and Hygiene (WASH)",HNO,pdf,further data disaggregation available (HNO),"2,300,000",,"2,700,000","813,000","2,200,000","1,900,000",,"6,900,000",,,,"1,400,000","6,300,000",,"500,000",,,"1,200,000",,,"356,000","1,200,000","3,800,000",,,"5,100,000",,,"3,500,000",,,"3,700,000","14,500,000","1,400,000"
People in need - WASH,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,900,000",,,,
People in acute need - WASH ,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,200,000",,,,
People in acute need -WASH,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,200,000",
People in need - M-S cash assistance,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,"2,200,000",,,,,,,,,,,,,,,,,,,,,
People in need - Education,HNO,pdf,further data disaggregation available (HNO),,,"582,000","450,000","400,000","600,000",,"3,000,000",,,,"300,000","3,500,000",,"300,000",,,"220,000",,,"141,000","200,000","3,000,000",,,"1,300,000",,"3,000,000","1,700,000",,,"600,000","2,300,000","520,000"
People in need - Education,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,100,000",,,,
People in acute need - Education,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000",
People in need - Livelihoods and Community Stabilization,HNO,pdf,further data disaggregation available (HNO),,,,,"1,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Emergency livelihoods,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,"5,200,000",,,,,,,,,,,,,,,,,,,,,
People in need - Rapid Response Mechanism (RRM),HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,"2,100,000",,,,,,,,,,,,,,,,,,,,,
People in need - Non-sectoral response for refugees,HNO,pdf,further data disaggregation available (HNO),,,"51,000",,,,,"500,000",,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Multisectoral response for refugees,HNO,pdf,further data disaggregation available (HNO),,,,,,"400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Early recovery and livelihoods,HNO,pdf,further data disaggregation available (HNO),,,,"1,000,000",,,,,,,,"911,000",,,,,,,,,,,,,,,,,,,,,,
People in need - Early recovery and livelihoods,HNO,website,further data disaggregation available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,800,000",,,,
People in need - Early recovery,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,"2,120,000",,,,,,,,,,,,,,,,
People in need - Recovery and response planning (durable solutions),HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,"14,000,000",,,,,,,,,,,
"People in need - Recovery, return and reintegration",HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,700,000",,,,,
People in need - Population movements,HNO,pdf,further data disaggregation available (HNO),,"35,000",,,,"1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,800,000",
People in need - Emergency preparedness,HNO,pdf,further data disaggregation available (HNO),,"57,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People at risk of epidemics,HNO,pdf,further data disaggregation available (HNO),,,,,,,,"6,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Cholera,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"2,200,000",,,,,,,,,,,,,,,,,,,,,,
People with vulnerabilities due to shocks,HNO,pdf,further data disaggregation available (HNO),,,,,,,,"6,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Urgent livelihood recovery,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"911,000",,,,,,,,,,,,,,,,,,,,,,
People in need - CCCM and Displacement Tracking Metrix (DTM),HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"230,000",,,,,,,,,,,,,,,,,,,,,,
Food insecurity and malnutrition (number of people in need),HNO,pdf,further data disaggregation available (HNO),,,,,,"4,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food insecurity (number of people in need),HNO,pdf,further data disaggregation available (HNO),,,,,,,,"4,400,000",,,,"1,500,000",,,,,,,,,,,,,,,,,,,,,,
Health emergencies (number of people in need),HNO,pdf,further data disaggregation available (HNO),,,,,,"1,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
People possibily infected by cholera ,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"30,000",,,,,,,,,,,,,,,,,,,,,,
People affected by malnutrition ,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"205,000,000",,,,,,,,,,,,,,,,,,,,,,
Children affected by SAM,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"18,000",,,,,,,,,,,,,,,,,,,,,,
Children affected by MAM,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"39,000",,,,,,,,,,,,,,,,,,,,,,
Malnourished children,HNO,pdf,further data disaggregation available (HNO),,,,,,,,"3,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Acutely malnourished children <5,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,"700,000",,,,,,
Severely malnourished children <5,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,000",,,,,,
Victims of natural disasters,HNO,pdf,further data disaggregation available (HNO),,,,,,,,"770,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Acute vulnerability due to the loss of access to basic services and goods and livelihoods (number of people in need),HNO,pdf,further data disaggregation available (HNO),,,,,,,,"6,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"Violation of the right to life, dignity and integrity of the person (number of people in need)",HNO,pdf,further data disaggregation available (HNO),,,,,,,,"1,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"Epidemics, acute malnutrition and food emergencies (number of people in need)",HNO,pdf,further data disaggregation available (HNO),,,,,,,,"4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
People affected (total),HNO,pdf,further data disaggregation available (HNO),,,,,,,,"7,300,000",,,,"3,200,000",,,,,,,,,,"1,900,000",,,,,,,,,,"4,400,000",,
People affected - Food security ,HNO,pdf,further data disaggregation available (HNO),,"1,100,000",,,,,,,,,,"1,500,000",,,,,,"3,500,000",,,,"1,300,000",,,,,,,,,,,,
People affected - Food security and livelihoods,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,500,000",,
People affected - Nutrition,HNO,pdf,further data disaggregation available (HNO),,"861,000",,,,,,,,,,"100,000",,,,,,"850,000",,,,"1,500,000",,,,,,,,,,,,
People affected - Population movement,HNO,pdf,further data disaggregation available (HNO),,"35,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People affected - Emergency preparedness,HNO,pdf,further data disaggregation available (HNO),,"431,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People affected - WASH,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"2,100,000",,,,,,"1,500,000",,,,"1,400,000",,,,,,,,,,"4,100,000",,
People affected - Protection,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"900,000",,,,,,"769,000",,,,"400,000",,,,,,,,,,"4,400,000",,
People affected - Health,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"2,100,000",,,,,,"3,700,000",,,,"1,000,000",,,,,,,,,,,,
People affected - Health and nutrition,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,100,000",,
People affected - DTM,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"200,000",,,,,,,,,,,,,,,,,,,,,,
People affected - Shelter and NFIs,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"800,000",,,,,,"637,000",,,,"400,000",,,,,,,,,,"2,400,000",,
People affected - Education,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"600,000",,,,,,"220,000",,,,"200,000",,,,,,,,,,"600,000",,
People affected - Early recovery,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"2,100,000",,,,,,"2,000,000",,,,,,,,,,,,,,,,
People affected - Cholera,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"2,200,000",,,,,,,,,,,,,,,,,,,,,,
People affected - Hurricane Matthew,HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,"2,100,000",,,,,,,,,,,,,,,,,,,,,,
People targeted (total),HNO,pdf,further data disaggregation available (HNO),,,,,,,,,,,,,,,,,,,,,"525,000",,,,,,,,,,,,,
Total population ,HRP,pdf,,"29,000,000",,"11,200,000","24,000,000","4,600,000","14,200,000",,"92,000,000",,"965,598",,"11,000,000","36,000,000",,"6,400,000",,"1,630,000","18,300,000",,,"51,500,000","20,000,000",,,,"12,000,000",,"12,300,000",,,,"45,000,000","27,400,000","4,800,000"
People in need (total),HRP,pdf,further data disaggregation available (HRP),"9,300,000",,"3,000,000","2,900,000","2,200,000","4,700,000",,"7,300,000",,"289,338",,"2,700,000","11,000,000",,"1,330,000",,"850,000","3,700,000",,,"525,000","1,900,000",,,,"7,500,000","881,000","5,000,000",,"13,500,000",,"3,800,000","18,800,000","2,000,000"
People in acute need,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,300,000",
"People in need (total) - Borno, Adamawa and Yobe",HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,"8,500,000",,,,,,,,,,,
People living in conflict-affected areas,HRP,pdf,,,,,,,,,,,,,,"15,000,000",,,,,,,,,,,,,,,,,,,,,
People at risk ,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,"254,000",,,,,,,
People at risk - Emergency preparedness,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254,000",,,,,,,
People in need - Shelter ,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,200,000",,"4,300,000",,,,
People in need - NFIs,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,800,000",,,,
People in need - Emergency shelter and NFIs ,HRP,pdf,further data disaggregation available (HRP),"2,100,000",,,,,,,,,,,,,,,,,,,,,,,,,"1,900,000",,,,,,,,
People in need - Shelter and NFIs,HRP,pdf,further data disaggregation available (HRP),,,,"656,000",,,,,,,,"806,000","3,900,000",,"550,000",,,"317,000",,,,"385,000","2,300,000",,,,,,,,,"600,000",,"280,000"
People in need - Shelter/NFIs/CCCM,HRP,pdf,further data disaggregation available (HRP),,,"300,000",,"800,000","948,200",,,,,,,,,,,,,,,"217,514",,,,,,,,,,,,"4,500,000",
People in need - CCCM,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,"230,000","2,700,000",,,,,,,,,,,,,"933,000",,,,"6,300,000",,,,
People in need - CCCM (acute need),HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000",,,,
People in need - Displacement Management Systems/CCCM,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,"2,300,000",,,,,,,,,,,
People in need - Essential household items and shelter,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Food security,HRP,pdf,further data disaggregation available (HRP),,,"2,100,000","2,800,000","2,000,000","4,300,000",,,,"196,910",,"1,500,000","3,200,000",,"360,000",,,"3,530,000",,,"383,525","1,300,000","5,100,000",,,,"881,000","5,000,000",,,,,,"1,650,000"
People in need - Food security and livelihoods,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,"850,000",,,,,,,,,"5,200,000",,,,,,"1,100,000",,
People in need - Food security and agriculture,HRP,pdf,further data disaggregation available (HRP),"3,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000",,,"14,100,000",
People in need - Health,HRP,pdf,further data disaggregation available (HRP),"6,300,000",,"3,000,000","1,500,000","1,300,000","1,900,000",,,,"289,338",,"2,100,000","9,700,000",,"1,330,000",,"850,000","2,000,000",,,"474,228","766,000","6,900,000",,,"5,400,000",,"3,300,000",,"12,800,000",,,"14,800,000",
People in need - Health and nutrition,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,200,000",,"1,000,000"
People in need - Cholera,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,"2,200,000",,,,,,,,,,,,,,,,,,,,,,
People in need - Nutrition,HRP,pdf,further data disaggregation available (HRP),"4,300,000",,"1,700,000","516,000","200,000","1,500,000",,,,"100,216",,"205,000",,,,,"850,000","852,000",,,"121,658","1,500,000","3,400,000",,,"1,700,000","860,000","850,050",,"4,400,000",,,"4,500,000",
People in need - Protection,HRP,pdf,further data disaggregation available (HRP),"3,700,000",,"1,800,000","1,000,000","2,000,000","691,300",,,,"70,250",,"854,000","8,700,000",,"1,330,000",,"850,000","592,000",,,"244,336","241,000","6,100,000",,,"7,300,000",,"1,100,000",,"13,500,000",,"2,900,000","11,300,000","1,800,000"
People in need - Child Protection,HRP,pdf,further data disaggregation available (HRP),,,,"580,000","1,400,000",,,,,,,,,,,,,,,,,,"2,100,000",,,,,,,,,,,
People in need - (S)GBV,HRP,pdf,further data disaggregation available (HRP),,,,"454,000","1,600,000",,,,,,,,,,,,,,,,,,"2,200,000",,,,,,,,,,,
People in need - WASH,HRP,pdf,further data disaggregation available (HRP),"2,300,000",,"2,600,000","813,000","2,200,000","2,000,000",,,,"174,828",,"1,400,000","6,300,000",,"500,000",,"850,000","1,200,000",,,"356,014","1,200,000","3,600,000",,,"5,100,000",,"3,300,000",,,,"3,700,000","14,500,000","1,450,000"
People in need - WASH (systems),HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,900,000",,,,
People in need - WASH (humanitarian WASH),HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,200,000",,,,
People in need - M-S cash assistance,HRP,pdf,further data disaggregation available (HRP),"1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Multi-purpose cash assistance,HRP,pdf,,,,,,,,,,,,,,"2,200,000",,,,,,,,,,,,,,,,,,,,,
People in need - Early recovery,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,"2,100,000",,,,,,,,,,,,,,,,
People in need - Early recovery and livelihoods,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,"1,000,000",,,,,,,,,,,,,,,,,,,,,,
People in need - Early recovery and resilience,HRP,pdf,further data disaggregation available (HRP),,,,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Livelihoods and Community Stabilization,HRP,pdf,further data disaggregation available (HRP),,,,,"1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Emergency livelihoods,HRP,pdf,,,,,,,,,,,,,,"5,200,000",,,,,,,,,,,,,,,,,,,,,
People in need - Emergency employment and community rehabilitation,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,000,000",
People in need - Response and recovery planning (durable solutions),HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,"8,500,000",,,,,,,,,,,
People in need - Rapid Response Mechanism (RRM),HRP,pdf,,,,,,,,,,,,,,"2,100,000",,,,,,,,,,,,,,,,,,,,,
"People in need - Coordination, information management, and early warning system",HRP,pdf,,,,,,,,,,,,,,,,,,"850,000",,,,,,,,,,,,,,,,,
People in need - Refugee response plan,HRP,pdf,further data disaggregation available (HRP),,,"80,000",,"12,800","403,000",,,,"32,500",,,,,,,,,,,,,,,,"303,000",,"32,232",,,,,,
People in need - Response plan for Central-African refugees,HRP,pdf,further data disaggregation available (HRP),,,,"276,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Response plan for Nigerian refugees,HRP,pdf,further data disaggregation available (HRP),,,,"86,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Refugee and returnee response plan,HRP,pdf,further data disaggregation available (HRP),"1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"People in need - Refugees, returnees and hosting families",HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Refugee and migrant response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,"296,000",,,,,,,,,,,,,,,,,,,
People in need - Refugee and migrant multi-sector response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"460,000",
People in need - Education,HRP,pdf,further data disaggregation available (HRP),,,"544,000","450,000","400,000","623,000",,,,"8,000",,"300,000","3,700,000",,"320,000",,"850,000","220,000",,,"141,000","173,000","2,900,000",,,"1,300,000",,"3,000,000",,"6,100,000",,"600,000","2,300,000","520,000"
People in need - Non-sectoral response for refugees,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Abyei response plan,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,"160,000",,,,,,,,
People in need - Coordination,HRP,pdf,,,,,,"8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People in need - Logistics,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisations in need - Logistics,HRP,pdf,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanitarian partners in need - Logistics,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,
People in need - Response communities - Emergency telecommunications,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000,000",,,,
People affected - Early recovery and livelihoods,HRP,pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,800,000",,,,
People targeted (total),HRP,pdf,further data disaggregation available (HRP),"5,700,000",,"1,000,000","1,200,000","1,600,000","2,600,000",,"6,700,000",,"244,920",,"2,400,000","6,200,000",,"940,000",,"850,000","1,360,000",,,"525,000","1,500,000","6,900,000",,,"5,800,000","379,000","3,900,000",,,,"2,600,000","12,000,000","1,600,000"
People targeted - Direct assistance,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,000,000",,,,
People targeted - Service delivery,HRP,pdf,further data disaggregation available (HRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,800,000",,,,
People targeted - Emergency shelter and NFIs,HRP,pdf,further data disaggregation available (HRP),"1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,"1,300,000",,,,,,,,
People targeted - Shelter/NFIs/CCCM ,HRP,pdf,further data disaggregation available (HRP),,,,,"700,000","343,600",,,,,,,,,,,,,,,"203,897",,,,,,,,,,,,"2,200,000",
